symbol,quarter,promoter,public
TAJGVK,2020-03-31,74.99,25.01
TALWALKARS,2020-03-31,38.49,61.51
UPL,2020-03-31,27.89,72.11
WEWIN,2020-03-31,71.66,28.34
WILLAMAGOR,2020-03-31,62.01,37.98
WSI,2020-03-31,37.69,62.31
A2ZINFRA,2020-06-30,28.67,71.33
BBTC,2020-06-30,74.05,25.95
BCG,2020-06-30,11.92,88.08
BFINVEST,2020-06-30,74.13,25.87
BFUTILITIE,2020-06-30,56.74,43.26
BHARATFORG,2020-06-30,46.25,53.75
BUTTERFLY,2020-06-30,64.77,35.23
CAMLINFINE,2020-06-30,22.85,77.15
CANDC,2020-06-30,32.36,67.64
DSKULKARNI,2020-06-30,46.84,53.16
ERIS,2020-06-30,55.55,44.45
GODREJPROP,2020-06-30,64.44,35.56
JAYNECOIND,2020-06-30,70.98,29.02
JINDALSTEL,2020-06-30,60.48,39.52
KIRLOSBROS,2020-06-30,65.95,34.05
KSOILS,2020-06-30,7.54,92.46
LINCOLN,2020-06-30,31.63,68.37
MAGNUM,2020-06-30,53.18,46.82
MANINDS,2020-06-30,42.43,57.57
MARATHON,2020-06-30,74.97,25.03
MCLEODRUSS,2020-06-30,25.82,74.18
MSPL,2020-06-30,41.61,58.39
MURUDCERA,2020-06-30,66.83,33.17
MUTHOOTCAP,2020-06-30,62.62,37.38
NEUEON,2020-06-30,37.27,62.73
NIRAJISPAT,2020-06-30,74.59,25.42
PUNJLLOYD,2020-06-30,13.9,86.1
PVP,2020-06-30,57.53,42.47
RAJESHEXPO,2020-06-30,54.05,45.95
SANDHAR,2020-06-30,70.29,29.71
SOBHA,2020-06-30,51.9,48.1
TALWALKARS,2020-06-30,38.49,61.51
UPL,2020-06-30,27.88,72.12
WEWIN,2020-06-30,71.66,28.34
WILLAMAGOR,2020-06-30,62.01,37.98
WSI,2020-06-30,37.69,62.31
A2ZINFRA,2020-09-30,28.64,71.36
ABINFRA,2020-09-30,59.19,40.81
APOLLOTYRE,2020-09-30,41.75,58.25
BBTC,2020-09-30,74.05,25.95
BCG,2020-09-30,11.09,88.91
BFINVEST,2020-09-30,74.13,25.87
BFUTILITIE,2020-09-30,56.74,43.26
BHARATFORG,2020-09-30,46.25,53.75
BHARTIARTL,2020-09-30,56.23,43.74
BUTTERFLY,2020-09-30,64.77,35.23
CAMLINFINE,2020-09-30,22.84,77.16
CANDC,2020-09-30,32.36,67.64
DSKULKARNI,2020-09-30,46.84,53.16
ERIS,2020-09-30,54.08,45.92
GLENMARK,2020-09-30,46.63,53.37
GODREJPROP,2020-09-30,64.44,35.56
JAYNECOIND,2020-09-30,70.98,29.02
JINDALSTEL,2020-09-30,60.47,39.53
KIRLOSBROS,2020-09-30,65.95,34.05
KSOILS,2020-09-30,7.54,92.46
LINCOLN,2020-09-30,31.68,68.32
MAGNUM,2020-09-30,53.18,46.82
MANINDS,2020-09-30,42.43,57.57
MARATHON,2020-09-30,74.97,25.03
MITCON,2020-09-30,0.0,100.0
MSPL,2020-09-30,41.61,58.39
MURUDCERA,2020-09-30,66.83,33.17
NIRAJISPAT,2020-09-30,74.59,25.42
PALREDTEC,2020-09-30,37.78,62.22
PATINTLOG,2020-09-30,36.19,63.81
PUNJLLOYD,2020-09-30,13.93,86.07
SANDHAR,2020-09-30,70.3,29.7
SHYAMTEL,2020-09-30,66.16,33.84
SOBHA,2020-09-30,51.99,48.01
SUDARCOLOR,2020-09-30,51.0,49.0
TALWALKARS,2020-09-30,38.49,61.51
UNITEDTEA,2020-09-30,49.79,50.2
UPL,2020-09-30,27.88,72.12
VBL,2020-09-30,66.4,33.6
WEWIN,2020-09-30,71.66,28.34
WILLAMAGOR,2020-09-30,62.01,37.99
WSI,2020-09-30,37.69,62.31
A2ZINFRA,2020-12-31,28.14,71.86
BBTC,2020-12-31,74.05,25.95
BCG,2020-12-31,10.32,89.68
BECTORFOOD,2020-12-31,51.13,48.86
BFINVEST,2020-12-31,74.13,25.87
BFUTILITIE,2020-12-31,56.74,43.26
BHARATFORG,2020-12-31,46.25,53.75
BUTTERFLY,2020-12-31,64.78,35.22
CAMLINFINE,2020-12-31,21.74,78.26
CANDC,2020-12-31,32.36,67.64
DSKULKARNI,2020-12-31,46.84,53.16
ERIS,2020-12-31,54.23,45.77
